,word,frequency
0,worst,1
1,shopping,4
2,experience,9
3,no,5
4,service,1
5,substantial,1
6,reply,2
7,to,65
8,complaints,1
9,delivery,6
10,for,50
11,week,1
12,post,1
13,guarantee,3
14,date,5
15,we,46
16,always,3
17,aim,2
18,deliver,4
19,by,8
20,the,65
21,given,1
22,in,13
23,your,34
24,confirmation,1
25,email,3
26,have,18
27,missed,1
28,that,20
29,any,8
30,update,2
31,tracking,5
32,nf,1
33,you,64
34,so,18
35,fancy,1
36,already,1
37,knooow,1
38,ep,2
39,awww,1
40,happy,5
41,birthday,2
42,don,5
43,t,61
44,look,7
45,a,25
46,day,4
47,over,1
48,pass,2
49,on,14
50,details,6
51,here,33
52,https,44
53,co,45
54,lil,1
55,surprise,1
56,rs,2
57,sounds,1
58,like,7
59,know,13
60,what,6
61,add,1
62,halloween,1
63,playlist,1
64,this,27
65,year,2
66,bv,2
67,hi,14
68,d,7
69,help,9
70,when,5
71,moment,1
72,please,20
73,connect,1
74,with,6
75,us,28
76,yp,2
77,matt,1
78,friendsforever,1
79,friendshipgoals,1
80,jo,6
81,oh,1
82,i,23
83,m,13
84,sorry,21
85,reach,3
86,out,6
87,can,28
88,into,6
89,options,3
90,haplpmlfhn,5
91,hear,4
92,contact,11
93,and,17
94,ll,9
95,it,19
96,as,4
97,keep,7
98,posted,6
99,let,7
100,if,22
101,doesn,5
102,arrive,6
103,tomorrow,2
104,they,1
105,direct,1
106,number,1
107,an,8
108,ar,3
109,apologies,2
110,bad,2
111,request,4
112,return,5
113,incorrect,1
114,item,5
115,using,2
116,link,6
117,provided,3
118,above,2
119,sh,6
120,hey,9
121,glad,3
122,issue,2
123,has,3
124,been,2
125,resolved,1
126,do,4
127,further,5
128,concerns,1
129,ca,1
130,thanks,11
131,shout,1
132,re,10
133,looking,2
134,improve,1
135,pls,3
136,share,1
137,specific,1
138,feedback,7
139,via,4
140,form,1
141,sj,6
142,delay,1
143,did,1
144,indicate,1
145,new,3
146,check,1
147,e,2
148,mail,2
149,order,10
150,updates,3
151,need,4
152,download,2
153,amazon,7
154,video,2
155,app,6
156,which,1
157,is,13
158,separate,1
159,est,1
160,at,6
161,checkout,1
162,late,2
163,cyqkduakwj,2
164,af,2
165,s,7
166,now,3
167,identify,1
168,from,2
169,how,3
170,report,2
171,not,4
172,cl,2
173,flagging,1
174,up,2
175,reviewed,1
176,earliest,1
177,ak,1
178,access,3
179,account,2
180,through,3
181,twitter,2
182,but,3
183,review,4
184,refund,2
185,en,3
186,wrong,2
187,case,2
188,was,5
189,sent,1
190,being,1
191,fulfilled,1
192,or,4
193,third,2
194,party,2
195,seller,5
196,our,10
197,site,3
198,doug,1
199,arrange,1
200,returns,1
201,most,3
202,items,1
203,online,1
204,see,3
205,more,3
206,info,4
207,cj,2
208,aren,1
209,seeing,1
210,advise,1
211,contacting,1
212,there,2
213,error,1
214,getting,2
215,while,2
216,redeeming,1
217,rw,1
218,directly,1
219,below,1
220,pk,1
221,truly,2
222,want,2
223,customers,1
224,only,1
225,be,8
226,able,3
227,end,1
228,of,3
229,aw,1
230,enjoying,2
231,prime,1
232,collection,1
233,keeps,1
234,better,3
235,stay,1
236,tuned,1
237,binge,1
238,watch,1
239,feel,4
240,soon,2
241,athena,1
242,much,2
243,rather,2
244,delivering,2
245,fun,1
246,things,1
247,than,1
248,cold,1
249,medicine,1
250,am,1
251,features,1
252,customer,2
253,sr,5
254,refunds,1
255,credit,1
256,card,2
257,typically,3
258,process,1
259,within,1
260,business,2
261,days,1
262,requested,2
263,ve,2
264,received,1
265,shall,1
266,connecting,1
267,leave,3
268,about,4
269,skgzkjcdng,1
270,way,2
271,went,1
272,could,1
273,elaborate,1
274,ab,1
275,arrived,3
276,exchange,2
277,waiting,1
278,find,2
279,damaged,1
280,replacement,3
281,nxgaalzhis,1
282,carriers,1
283,will,6
284,until,2
285,pm,1
286,then,3
287,wj,4
288,scan,3
289,indicates,1
290,shipment,1
291,transit,1
292,destination,1
293,should,2
294,edd,1
295,promised,1
296,inconvenience,2
297,caused,1
298,manage,2
299,text,1
300,alerts,2
301,forwarded,1
302,relevant,1
303,department,2
304,jj,1
305,trouble,3
306,tried,1
307,unlinking,1
308,linking,1
309,spotify,1
310,alexa,1
311,cs,1
312,sound,1
313,right,1
314,support,3
315,time,3
316,unable,2
317,availability,1
318,mpos,1
319,device,1
320,payment,2
321,cod,1
322,couriers,1
323,vs,1
324,create,1
325,stock,2
326,same,1
327,place,1
328,its,1
329,make,2
330,sure,4
331,isn,2
332,repeated,1
333,regret,1
334,work,1
335,these,4
336,instances,1
337,never,1
338,happen,1
339,bringing,2
340,attention,2
341,page,1
342,investigate,1
343,list,1
344,hb,4
345,me,3
346,receiver,1
347,stopped,1
348,working,1
349,very,1
350,next,1
351,thank,1
352,interest,2
353,windows,1
354,phone,3
355,application,1
356,longer,1
357,available,2
358,encourage,1
359,visit,2
360,mobile,1
361,browser,1
362,where,2
